dt,AverageTemperature,City
1849-01-01,2.153,Rome
1849-02-01,3.419,Rome
1849-03-01,7.241,Rome
1849-04-01,12.087,Rome
1849-05-01,16.543,Rome
1849-06-01,21.234,Rome
1849-07-01,24.876,Rome
1849-08-01,24.321,Rome
1849-09-01,20.123,Rome
1849-10-01,14.567,Rome
1849-11-01,8.432,Rome
1849-12-01,3.876,Rome
1850-01-01,1.987,Rome
1850-02-01,2.765,Rome
1850-03-01,6.543,Rome
1850-04-01,11.234,Rome
1850-05-01,15.876,Rome
1850-06-01,20.543,Rome
1850-07-01,23.987,Rome
1850-08-01,23.654,Rome
1850-09-01,19.432,Rome
1850-10-01,13.876,Rome
1850-11-01,7.654,Rome
1850-12-01,3.123,Rome
1851-01-01,,Rome
1851-02-01,4.123,Rome
1851-03-01,7.876,Rome
1851-04-01,12.543,Rome
1851-05-01,17.123,Rome
1851-06-01,,Rome
1851-07-01,25.234,Rome
1851-08-01,24.876,Rome
1851-09-01,20.543,Rome
1851-10-01,14.987,Rome
1851-11-01,8.765,Rome
1851-12-01,4.234,Rome
1900-01-01,4.321,Rome
1900-02-01,5.432,Rome
1900-03-01,9.123,Rome
1900-04-01,13.876,Rome
1900-05-01,18.234,Rome
1900-06-01,22.987,Rome
1900-07-01,26.543,Rome
1900-08-01,26.123,Rome
1900-09-01,21.876,Rome
1900-10-01,16.234,Rome
1900-11-01,10.123,Rome
1900-12-01,5.678,Rome
1901-01-01,3.876,Rome
1901-02-01,4.987,Rome
1901-03-01,8.765,Rome
1901-04-01,13.234,Rome
1901-05-01,17.876,Rome
1901-06-01,22.543,Rome
1901-07-01,26.123,Rome
1901-08-01,25.765,Rome
1901-09-01,21.432,Rome
1901-10-01,15.876,Rome
1901-11-01,9.765,Rome
1901-12-01,5.234,Rome
1950-01-01,5.123,Rome
1950-02-01,6.234,Rome
1950-03-01,9.876,Rome
1950-04-01,14.543,Rome
1950-05-01,19.123,Rome
1950-06-01,23.876,Rome
1950-07-01,27.432,Rome
1950-08-01,27.123,Rome
1950-09-01,22.765,Rome
1950-10-01,17.123,Rome
1950-11-01,11.012,Rome
1950-12-01,6.567,Rome
1951-01-01,4.876,Rome
1951-02-01,5.987,Rome
1951-03-01,9.543,Rome
1951-04-01,14.123,Rome
1951-05-01,18.765,Rome
1951-06-01,23.432,Rome
1951-07-01,27.123,Rome
1951-08-01,,Rome
1951-09-01,22.432,Rome
1951-10-01,16.876,Rome
1951-11-01,10.765,Rome
1951-12-01,6.234,Rome
2000-01-01,6.543,Rome
2000-02-01,7.654,Rome
2000-03-01,11.234,Rome
2000-04-01,15.987,Rome
2000-05-01,20.543,Rome
2000-06-01,25.234,Rome
2000-07-01,28.876,Rome
2000-08-01,28.543,Rome
2000-09-01,24.123,Rome
2000-10-01,18.543,Rome
2000-11-01,12.432,Rome
2000-12-01,7.987,Rome
2001-01-01,6.234,Rome
2001-02-01,7.345,Rome
2001-03-01,10.987,Rome
2001-04-01,15.654,Rome
2001-05-01,20.234,Rome
2001-06-01,24.987,Rome
2001-07-01,28.543,Rome
2001-08-01,28.234,Rome
2001-09-01,23.876,Rome
2001-10-01,18.234,Rome
2001-11-01,12.123,Rome
2001-12-01,7.765,Rome
2010-01-01,7.234,Rome
2010-02-01,8.123,Rome
2010-03-01,11.876,Rome
2010-04-01,16.543,Rome
2010-05-01,21.123,Rome
2010-06-01,25.876,Rome
2010-07-01,29.432,Rome
2010-08-01,29.123,Rome
2010-09-01,24.765,Rome
2010-10-01,19.123,Rome
2010-11-01,13.012,Rome
2010-12-01,8.567,Rome
2011-01-01,6.987,Rome
2011-02-01,8.012,Rome
2011-03-01,11.654,Rome
2011-04-01,16.234,Rome
2011-05-01,20.876,Rome
2011-06-01,25.543,Rome
2011-07-01,29.123,Rome
2011-08-01,28.876,Rome
2011-09-01,24.432,Rome
2011-10-01,18.876,Rome
2011-11-01,12.765,Rome
2011-12-01,8.234,Rome
2012-01-01,7.123,Rome
2012-02-01,7.987,Rome
2012-03-01,11.543,Rome
2012-04-01,16.123,Rome
2012-05-01,20.765,Rome
2012-06-01,25.432,Rome
2012-07-01,29.012,Rome
2012-08-01,28.765,Rome
2012-09-01,24.321,Rome
2012-10-01,18.765,Rome
2012-11-01,12.654,Rome
2012-12-01,8.123,Rome
2013-01-01,7.456,Rome
2013-02-01,8.234,Rome
2013-03-01,11.876,Rome
2013-04-01,16.432,Rome
2013-05-01,21.012,Rome
2013-06-01,25.765,Rome
2013-07-01,29.345,Rome
2013-08-01,29.098,Rome
2013-09-01,24.654,Rome
2013-10-01,19.012,Rome
2013-11-01,12.901,Rome
2013-12-01,8.456,Rome
1849-01-01,5.234,Milan
1849-02-01,6.543,Milan
1849-03-01,10.123,Milan
1849-04-01,14.876,Milan
1849-05-01,19.432,Milan
1849-06-01,23.987,Milan
1849-07-01,27.543,Milan
1849-08-01,26.987,Milan
1849-09-01,22.432,Milan
1849-10-01,16.876,Milan
1849-11-01,10.654,Milan
1849-12-01,5.987,Milan
1900-01-01,1.234,Milan
1900-02-01,2.876,Milan
1900-03-01,7.543,Milan
1900-04-01,12.234,Milan
1900-05-01,17.012,Milan
1900-06-01,21.765,Milan
1900-07-01,25.321,Milan
1900-08-01,24.876,Milan
1900-09-01,20.432,Milan
1900-10-01,14.765,Milan
1900-11-01,8.543,Milan
1900-12-01,3.012,Milan
2013-01-01,2.456,Milan
2013-02-01,3.654,Milan
2013-03-01,8.234,Milan
2013-04-01,13.012,Milan
2013-05-01,17.765,Milan
2013-06-01,22.432,Milan
2013-07-01,26.012,Milan
2013-08-01,25.654,Milan
2013-09-01,21.234,Milan
2013-10-01,15.543,Milan
2013-11-01,9.234,Milan
2013-12-01,4.012,Milan
1849-01-01,8.765,Athens
1849-02-01,9.876,Athens
1849-03-01,12.543,Athens
1849-04-01,16.234,Athens
1849-05-01,21.012,Athens
1849-06-01,26.543,Athens
1849-07-01,30.123,Athens
1849-08-01,29.876,Athens
1849-09-01,25.432,Athens
1849-10-01,19.876,Athens
1849-11-01,14.654,Athens
1849-12-01,10.123,Athens
2013-01-01,9.876,Athens
2013-02-01,10.654,Athens
2013-03-01,13.432,Athens
2013-04-01,17.234,Athens
2013-05-01,22.012,Athens
2013-06-01,27.654,Athens
2013-07-01,31.234,Athens
2013-08-01,30.987,Athens
2013-09-01,26.543,Athens
2013-10-01,20.987,Athens
2013-11-01,15.765,Athens
2013-12-01,11.234,Athens
1849-01-01,3.456,Paris
1849-02-01,4.567,Paris
1849-03-01,8.123,Paris
1849-04-01,11.876,Paris
1849-05-01,15.543,Paris
1849-06-01,19.234,Paris
1849-07-01,21.876,Paris
1849-08-01,21.432,Paris
1849-09-01,17.987,Paris
1849-10-01,12.432,Paris
1849-11-01,7.123,Paris
1849-12-01,3.876,Paris
2013-01-01,4.567,Paris
2013-02-01,5.432,Paris
2013-03-01,8.987,Paris
2013-04-01,12.654,Paris
2013-05-01,16.234,Paris
2013-06-01,19.987,Paris
2013-07-01,22.543,Paris
2013-08-01,22.234,Paris
2013-09-01,18.876,Paris
2013-10-01,13.234,Paris
2013-11-01,7.987,Paris
2013-12-01,4.765,Paris
