dt,LandAverageTemperature
1900-01,2.61
1900-02,3.42
1900-03,6.32
1900-04,9.98
1900-05,13.99
1900-06,17.34
1900-07,19.01
1900-08,17.67
1900-09,14.44
1900-10,9.42
1900-11,5.27
1900-12,3.0
1901-01,2.13
1901-02,3.57
1901-03,6.63
1901-04,10.24
1901-05,13.58
1901-06,17.28
1901-07,18.95
1901-08,17.61
1901-09,14.75
1901-10,9.97
1901-11,5.38
1901-12,2.73
1902-01,2.88
1902-02,3.68
1902-03,6.19
1902-04,9.89
1902-05,14.09
1902-06,17.3
1902-07,18.96
1902-08,18.2
1902-09,14.54
1902-10,10.19
1902-11,5.42
1902-12,3.06
1903-01,2.78
1903-02,3.92
1903-03,6.81
1903-04,10.28
1903-05,13.98
1903-06,16.86
1903-07,18.5
1903-08,17.85
1903-09,14.18
1903-10,9.61
1903-11,5.2
1903-12,2.84
1904-01,2.64
1904-02,3.72
1904-03,6.42
1904-04,10.0
1904-05,13.64
1904-06,17.58
1904-07,18.85
1904-08,18.12
1904-09,14.26
1904-10,10.01
1904-11,5.26
1904-12,2.93
1905-01,2.93
1905-02,3.95
1905-03,6.58
1905-04,10.38
1905-05,14.11
1905-06,17.46
1905-07,18.52
1905-08,17.66
1905-09,14.39
1905-10,9.65
1905-11,5.3
1905-12,3.39
1906-01,2.84
1906-02,3.69
1906-03,6.67
1906-04,10.16
1906-05,14.17
1906-06,17.21
1906-07,18.55
1906-08,17.84
1906-09,14.59
1906-10,9.65
1906-11,5.61
1906-12,3.36
1907-01,2.47
1907-02,3.62
1907-03,6.95
1907-04,10.26
1907-05,13.52
1907-06,16.89
1907-07,18.44
1907-08,18.15
1907-09,14.78
1907-10,9.79
1907-11,5.2
1907-12,2.95
1908-01,2.95
1908-02,3.88
1908-03,6.93
1908-04,10.54
1908-05,13.47
1908-06,17.43
1908-07,18.9
1908-08,18.09
1908-09,14.37
1908-10,9.97
1908-11,5.25
1908-12,3.0
1909-01,2.53
1909-02,4.23
1909-03,6.86
1909-04,10.07
1909-05,13.86
1909-06,17.01
1909-07,19.09
1909-08,18.36
1909-09,14.4
1909-10,9.97
1909-11,5.65
1909-12,2.79
1910-01,2.78
1910-02,3.9
1910-03,6.79
1910-04,10.29
1910-05,13.47
1910-06,17.13
1910-07,18.39
1910-08,18.41
1910-09,14.87
1910-10,10.14
1910-11,5.42
1910-12,2.72
1911-01,2.88
1911-02,4.23
1911-03,6.25
1911-04,10.27
1911-05,13.53
1911-06,17.49
1911-07,18.99
1911-08,17.78
1911-09,14.56
1911-10,9.92
1911-11,5.39
1911-12,3.37
1912-01,2.52
1912-02,3.65
1912-03,6.62
1912-04,10.47
1912-05,13.64
1912-06,17.13
1912-07,19.18
1912-08,18.2
1912-09,14.53
1912-10,9.9
1912-11,5.28
1912-12,2.86
1913-01,2.46
1913-02,3.96
1913-03,6.38
1913-04,10.07
1913-05,13.55
1913-06,17.4
1913-07,18.57
1913-08,18.42
1913-09,14.88
1913-10,9.55
1913-11,5.38
1913-12,3.23
1914-01,2.37
1914-02,3.6
1914-03,6.95
1914-04,10.35
1914-05,13.88
1914-06,17.53
1914-07,19.04
1914-08,17.85
1914-09,14.28
1914-10,9.84
1914-11,5.54
1914-12,3.07
1915-01,2.79
1915-02,4.04
1915-03,6.99
1915-04,9.98
1915-05,13.83
1915-06,17.18
1915-07,19.09
1915-08,17.9
1915-09,14.36
1915-10,9.86
1915-11,5.54
1915-12,2.93
1916-01,2.41
1916-02,4.25
1916-03,6.57
1916-04,10.6
1916-05,13.95
1916-06,16.95
1916-07,19.21
1916-08,18.38
1916-09,14.99
1916-10,10.25
1916-11,5.89
1916-12,2.85
1917-01,2.61
1917-02,3.69
1917-03,6.54
1917-04,9.97
1917-05,13.82
1917-06,17.71
1917-07,18.63
1917-08,18.35
1917-09,14.58
1917-10,9.86
