dt,LandAverageTemperature,LandAverageTemperatureUncertainty
1750-01,2.05,7.26
1750-02,3.71,7.32
1750-03,6.9,7.11
1750-04,10.24,8.0
1750-05,14.15,7.48
1750-06,17.04,8.0
1750-07,18.45,7.01
1750-08,17.94,7.26
1750-09,14.6,7.21
1750-10,9.62,8.34
1750-11,5.91,7.28
1750-12,2.64,9.37
1751-01,2.03,9.7
1751-02,3.88,7.77
1751-03,6.84,9.28
1751-04,10.05,9.37
1751-05,13.51,8.8
1751-06,17.23,9.4
1751-07,18.52,8.16
1751-08,18.27,8.51
1751-09,14.69,8.89
1751-10,9.97,9.64
1751-11,5.49,8.98
1751-12,2.88,7.07
1752-01,2.76,7.48
1752-02,4.13,9.68
1752-03,6.67,7.45
1752-04,10.04,8.11
1752-05,13.38,8.31
1752-06,17.28,7.95
1752-07,18.4,7.2
1752-08,18.14,6.98
1752-09,14.36,7.63
1752-10,9.84,9.11
1752-11,5.92,8.86
1752-12,3.5,9.83
1753-01,2.64,7.61
1753-02,3.8,7.44
1753-03,7.0,8.24
1753-04,10.46,7.04
1753-05,13.45,7.49
1753-06,16.97,7.97
1753-07,18.48,8.21
1753-08,17.93,7.24
1753-09,14.07,7.98
1753-10,9.4,8.21
1753-11,5.02,8.52
1753-12,2.59,8.99
1754-01,2.42,9.84
1754-02,3.58,8.3
1754-03,6.77,7.88
1754-04,10.06,8.8
1754-05,14.29,9.53
1754-06,17.14,9.03
1754-07,18.9,8.0
1754-08,17.75,7.12
1754-09,14.89,7.05
1754-10,9.83,8.49
1754-11,5.16,8.85
1754-12,3.43,9.21
1755-01,2.41,7.23
1755-02,4.29,8.4
1755-03,6.65,9.26
1755-04,10.11,7.04
1755-05,13.46,8.86
1755-06,17.07,9.46
1755-07,18.96,9.79
1755-08,18.19,7.76
1755-09,14.81,6.93
1755-10,9.84,9.46
1755-11,5.53,7.26
1755-12,3.02,8.49
1756-01,2.39,9.5
1756-02,3.66,7.64
1756-03,6.53,7.43
1756-04,10.05,8.01
1756-05,14.26,7.06
1756-06,16.92,7.42
1756-07,19.22,9.49
1756-08,17.72,8.51
1756-09,14.11,7.77
1756-10,9.67,8.43
1756-11,5.95,9.25
1756-12,3.06,9.18
1757-01,2.51,8.98
1757-02,4.1,7.56
1757-03,6.86,8.52
1757-04,10.21,7.98
1757-05,13.55,8.29
1757-06,16.85,8.69
1757-07,19.13,9.16
1757-08,18.14,8.27
1757-09,14.72,7.16
1757-10,9.38,9.37
1757-11,5.39,8.8
1757-12,2.95,7.87
1758-01,2.8,7.79
1758-02,4.09,9.22
1758-03,6.21,9.69
1758-04,9.79,8.0
1758-05,13.83,9.25
1758-06,16.91,8.44
1758-07,18.6,9.53
1758-08,17.65,7.56
1758-09,14.85,7.73
1758-10,10.28,6.91
1758-11,5.42,7.08
1758-12,3.11,9.65
1759-01,2.36,8.67
1759-02,3.6,8.05
1759-03,6.61,7.48
1759-04,10.43,8.23
1759-05,14.24,7.56
1759-06,17.69,7.28
1759-07,18.26,8.71
1759-08,18.27,8.16
1759-09,14.08,9.72
1759-10,9.48,9.34
1759-11,5.93,7.39
1759-12,3.4,8.12
1760-01,2.94,9.36
1760-02,4.11,7.57
1760-03,6.62,9.64
1760-04,10.06,7.86
1760-05,14.03,6.89
1760-06,16.99,7.2
1760-07,18.66,7.97
1760-08,18.15,8.19
1760-09,14.2,6.84
1760-10,9.86,8.99
1760-11,5.97,9.22
1760-12,2.84,9.3
1761-01,2.51,7.52
1761-02,3.44,8.0
1761-03,6.59,7.51
1761-04,9.94,9.49
1761-05,13.41,9.49
1761-06,17.15,9.04
1761-07,18.35,8.38
1761-08,18.31,7.98
1761-09,14.4,8.15
1761-10,9.54,7.3
1761-11,5.29,6.78
1761-12,3.45,6.89
1762-01,2.98,6.67
1762-02,4.0,8.28
1762-03,6.09,9.46
1762-04,10.48,9.28
1762-05,13.78,7.51
1762-06,16.93,6.98
1762-07,18.92,9.11
1762-08,17.76,6.72
1762-09,14.41,7.1
1762-10,9.57,7.31
1762-11,5.71,7.94
1762-12,3.11,7.81
1763-01,3.04,8.1
1763-02,3.39,7.03
1763-03,6.78,9.35
1763-04,9.88,7.99
1763-05,14.21,8.27
1763-06,16.77,8.17
1763-07,18.54,7.25
1763-08,18.49,6.93
1763-09,14.88,8.87
1763-10,9.94,7.58
1763-11,5.13,8.62
1763-12,3.51,7.15
1764-01,2.18,8.01
1764-02,4.21,6.6
1764-03,6.84,6.84
1764-04,9.79,7.02
1764-05,13.81,9.39
1764-06,17.42,6.76
1764-07,18.41,7.96
1764-08,17.65,8.59
1764-09,14.41,9.45
1764-10,10.18,9.03
1764-11,5.29,7.87
1764-12,3.23,6.85
1765-01,2.07,7.53
1765-02,3.76,8.91
1765-03,6.87,6.72
1765-04,9.82,9.32
1765-05,13.65,6.93
1765-06,17.55,8.9
1765-07,18.86,8.85
1765-08,18.42,9.11
1765-09,14.32,7.81
1765-10,10.34,7.65
1765-11,5.69,9.09
1765-12,3.44,8.36
1766-01,2.41,8.59
1766-02,3.37,7.57
1766-03,6.82,8.46
1766-04,9.84,8.68
1766-05,13.97,7.85
1766-06,16.87,8.31
1766-07,19.01,7.12
1766-08,18.2,6.73
1766-09,14.27,7.59
1766-10,10.14,7.37
1766-11,5.95,9.47
1766-12,2.73,6.6
1767-01,2.8,8.78
1767-02,4.27,8.51
1767-03,6.85,7.59
1767-04,9.87,9.49
1767-05,13.97,7.3
1767-06,17.66,6.71
1767-07,18.32,7.25
1767-08,17.7,7.72
1767-09,14.69,8.05
1767-10,9.92,6.85
1767-11,5.6,9.42
1767-12,2.9,8.89
1768-01,2.71,8.75
1768-02,4.03,7.78
1768-03,6.31,6.74
1768-04,9.89,6.76
1768-05,14.14,8.97
1768-06,17.59,9.11
1768-07,18.63,8.48
1768-08,18.39,6.86
1768-09,14.07,7.09
1768-10,10.29,8.88
1768-11,5.2,9.0
1768-12,2.75,7.26
1769-01,2.24,9.08
1769-02,4.2,6.62
1769-03,6.1,8.8
1769-04,10.17,8.14
1769-05,14.01,8.06
1769-06,16.96,7.36
1769-07,18.87,8.78
1769-08,17.91,6.5
1769-09,14.22,7.28
1769-10,10.34,7.71
1769-11,5.57,7.7
1769-12,3.44,8.83
1770-01,2.23,8.4
1770-02,3.93,9.09
1770-03,6.14,8.13
1770-04,9.97,8.11
1770-05,14.2,7.7
1770-06,17.31,7.5
1770-07,19.22,8.99
1770-08,17.67,6.53
1770-09,14.61,7.33
1770-10,9.41,8.43
1770-11,5.24,8.33
1770-12,2.68,8.54
1771-01,2.92,8.76
1771-02,4.27,8.22
1771-03,6.42,6.92
1771-04,10.44,9.29
1771-05,14.04,6.68
1771-06,16.83,6.83
1771-07,19.09,6.78
1771-08,18.29,8.12
1771-09,14.45,7.63
1771-10,9.65,7.6
1771-11,5.27,7.96
1771-12,3.24,8.02
1772-01,3.08,9.12
1772-02,4.28,8.15
1772-03,6.23,8.62
1772-04,10.73,8.14
1772-05,13.84,8.31
1772-06,17.41,8.82
1772-07,18.77,7.45
1772-08,18.4,7.74
1772-09,14.74,7.19
1772-10,9.93,8.03
1772-11,5.67,8.7
1772-12,2.93,6.85
1773-01,2.47,8.07
1773-02,3.88,7.43
1773-03,6.51,6.84
1773-04,9.9,8.28
1773-05,13.46,8.03
1773-06,17.77,7.83
1773-07,19.0,8.6
1773-08,18.08,7.89
1773-09,14.32,8.19
1773-10,9.92,7.32
1773-11,6.03,8.2
1773-12,3.01,9.02
1774-01,2.86,9.19
1774-02,3.73,7.72
1774-03,6.33,8.47
1774-04,10.64,8.35
1774-05,14.11,6.71
1774-06,17.73,6.7
1774-07,19.1,6.78
1774-08,18.28,8.51
1774-09,14.27,7.95
1774-10,9.65,9.14
1774-11,5.28,9.23
1774-12,3.1,6.3
1775-01,2.26,7.3
1775-02,4.08,8.17
1775-03,6.32,7.53
1775-04,10.65,7.67
1775-05,13.72,8.16
1775-06,17.66,8.34
1775-07,19.28,7.58
1775-08,17.61,6.36
1775-09,15.07,7.35
1775-10,10.18,9.16
1775-11,5.65,8.27
1775-12,3.16,8.44
1776-01,2.93,8.31
1776-02,4.07,6.32
1776-03,6.23,7.57
1776-04,10.62,8.73
1776-05,13.83,8.73
1776-06,17.15,8.17
1776-07,18.43,9.08
1776-08,17.96,7.15
1776-09,14.18,6.84
1776-10,9.45,7.9
1776-11,6.08,6.25
1776-12,3.09,7.48
1777-01,2.81,6.38
1777-02,3.6,7.24
1777-03,6.44,7.43
1777-04,10.3,7.38
1777-05,13.77,9.0
1777-06,16.91,6.96
1777-07,19.0,7.29
1777-08,17.8,8.79
1777-09,14.53,8.13
1777-10,10.33,8.98
1777-11,5.54,7.53
1777-12,2.65,6.34
1778-01,3.05,9.0
1778-02,3.8,8.66
1778-03,6.84,7.26
1778-04,9.88,7.98
1778-05,13.53,7.49
1778-06,17.31,6.26
1778-07,18.52,7.02
1778-08,18.31,6.62
1778-09,14.72,7.24
1778-10,9.95,8.76
1778-11,5.73,8.68
1778-12,2.82,6.88
1779-01,2.59,6.79
1779-02,3.73,8.46
1779-03,6.31,7.58
1779-04,10.15,8.01
1779-05,13.88,8.86
1779-06,17.25,8.87
1779-07,18.4,7.31
1779-08,18.08,6.43
1779-09,14.99,8.66
1779-10,9.8,7.82
1779-11,5.65,6.83
1779-12,2.67,8.22
1780-01,2.91,7.43
1780-02,4.03,7.92
1780-03,6.9,6.62
1780-04,10.34,8.82
1780-05,13.84,8.31
1780-06,16.9,7.26
1780-07,18.38,7.5
