date,value
2024-01-01,112
2024-01-02,115
2024-01-03,118
2024-01-04,121
2024-01-07,130
2024-01-08,133
2024-01-09,136
2024-01-10,139
2024-01-11,142
2024-01-12,145
2024-01-15,154
2024-01-16,157
2024-01-17,160
2024-01-18,163
2024-01-19,166
2024-01-22,175
2024-01-23,178
2024-01-24,181
2024-01-25,184
2024-01-26,187
2024-01-29,196
2024-01-30,199
2024-01-31,202
2024-02-01,205
2024-02-02,208
2024-02-05,217
2024-02-06,220
2024-02-07,223
2024-02-08,226
non-una-data,999
2024-02-09,229
2024-02-12,238
2024-02-13,241
2024-02-14,244
2024-02-15,247
2024-02-16,250
2024-02-19,259
2024-02-20,262
2024-02-21,265
2024-02-22,
2024-02-23,271
2024-02-26,280
2024-02-27,283
2024-02-28,286
2024-02-29,289
2024-03-01,292
2024-03-04,301
2024-03-05,304
2024-03-06,307
2024-03-07,310
2024-03-08,313
2024-03-11,322
2024-03-12,325
2024-03-13,328
2024-03-14,331
2024-03-15,334
2024-03-18,-10
2024-03-19,343
2024-03-20,346
2024-03-21,349
2024-03-22,352
2024-03-25,361
2024-03-26,364
2024-03-27,367
2024-03-28,370
2024-03-29,373
